Filename,SNR,Speaker,Length,Reference,Hyp_NoLM,Hyp_LM
SNR35dB_girl_seq5digits_035.wav,SNR35dB,girl,5,five oh seven three one,five o seven three one,five o seven three one
SNR35dB_girl_seq5digits_003.wav,SNR35dB,girl,5,one nine two nine zero,when ninety nine yer,when ninety nine year
SNR35dB_girl_seq5digits_055.wav,SNR35dB,girl,5,two one eight two four,two one ay two four,two one a two four
SNR35dB_girl_seq5digits_049.wav,SNR35dB,girl,5,eight seven five five seven,eight seven five five seven,eight seven five five seven
SNR35dB_girl_seq5digits_067.wav,SNR35dB,girl,5,oh six three six nine,o six three six nine,o six three six nine
SNR35dB_girl_seq5digits_033.wav,SNR35dB,girl,5,five one two eight nine,five on two eight nine,five on two eight nine
SNR35dB_girl_seq5digits_050.wav,SNR35dB,girl,5,eight oh four two nine,eight o four two nine,eight o four two nine
SNR35dB_girl_seq5digits_058.wav,SNR35dB,girl,5,three nine zero two three,three nine z ro two three,three nine zero two three
SNR35dB_girl_seq5digits_017.wav,SNR35dB,girl,5,three zero eight two six,three za er eight two six,three s e eight two six
SNR35dB_girl_seq5digits_063.wav,SNR35dB,girl,5,seven nine oh oh oh,seven night,seven night
SNR35dB_girl_seq5digits_057.wav,SNR35dB,girl,5,eight eight five seven four,a a five seven four,a a five seven four
SNR35dB_girl_seq5digits_040.wav,SNR35dB,girl,5,oh eight one oh four,oh i orne oh for,oh i one oh for
SNR35dB_girl_seq5digits_078.wav,SNR35dB,girl,5,three two seven four three,three two seven four three,three two seven four three
SNR35dB_girl_seq5digits_037.wav,SNR35dB,girl,5,two zero four four two,twoezaro four four two,two zero four four two
SNR35dB_girl_seq5digits_030.wav,SNR35dB,girl,5,nine oh five oh five,nine o five o five,nine o five o five
SNR35dB_girl_seq5digits_041.wav,SNR35dB,girl,5,two eight seven three five,two eight seven three five,two eight seven three five
SNR35dB_girl_seq5digits_016.wav,SNR35dB,girl,5,oh nine six three six,o nan six three six,oh nan six three six
SNR35dB_girl_seq5digits_026.wav,SNR35dB,girl,5,six nine two one three,six nine two one three,six nine two one three
SNR35dB_girl_seq5digits_071.wav,SNR35dB,girl,5,seven one seven eight four,seven one seven eight four,seven one seven eight four
SNR35dB_girl_seq5digits_066.wav,SNR35dB,girl,5,oh five three eight eight,o five three ight eight,oh five three ight eight
SNR35dB_girl_seq5digits_098.wav,SNR35dB,girl,5,one four two two four,one four two two four,one for two two four
SNR35dB_girl_seq5digits_005.wav,SNR35dB,girl,5,three four five three one,three four five three one,three four five three one
SNR35dB_girl_seq5digits_070.wav,SNR35dB,girl,5,seven one two one one,sevent one two one one,seventy one two one one
SNR35dB_girl_seq5digits_021.wav,SNR35dB,girl,5,three zero nine one zero,three zero nine one zera,three zero nine one zero
SNR35dB_girl_seq5digits_088.wav,SNR35dB,girl,5,oh six four eight oh,e six for eigt e,six for eight
SNR35dB_girl_seq5digits_054.wav,SNR35dB,girl,5,eight seven two zero zero,eight seventy zirozira,eight seventy zero zero
SNR35dB_girl_seq5digits_091.wav,SNR35dB,girl,5,oh seven four oh nine,o seven four o nine,o seven four o nine
SNR35dB_girl_seq5digits_064.wav,SNR35dB,girl,5,five seven nine five nine,five seven nine five nine,five seven nine five nine
SNR35dB_girl_seq5digits_094.wav,SNR35dB,girl,5,three zero eight nine two,three zero eight nine two,three zero eight nine two
SNR35dB_girl_seq5digits_056.wav,SNR35dB,girl,5,five five zero zero one,fa fave zera dera would,five five zero der i would
SNR35dB_girl_seq5digits_023.wav,SNR35dB,girl,5,one five three nine eight,one five three nine eight,one five three nine eight
SNR35dB_girl_seq5digits_095.wav,SNR35dB,girl,5,oh seven two nine three,oh seven two nine three,oh seven two nine three
SNR35dB_girl_seq5digits_083.wav,SNR35dB,girl,5,two four five four zero,two four five four zero,two four five four zero
SNR35dB_girl_seq5digits_002.wav,SNR35dB,girl,5,zero four four two zero,zero four four two zero,zero four four two zero
SNR35dB_girl_seq5digits_027.wav,SNR35dB,girl,5,eight zero nine two zero,eight zero nine two zero,eight zero nine two zero
SNR35dB_girl_seq5digits_042.wav,SNR35dB,girl,5,five one zero three four,five one zero three four,five one zero three four
SNR35dB_girl_seq5digits_024.wav,SNR35dB,girl,5,seven oh oh five five,seven o o five five,seven o o five five
SNR35dB_girl_seq5digits_046.wav,SNR35dB,girl,5,five oh five two seven,five o five to seven,five o five to seven
SNR35dB_girl_seq5digits_001.wav,SNR35dB,girl,5,seven five nine nine three,seven five nine nine three,seven five nine nine three
SNR35dB_girl_seq5digits_053.wav,SNR35dB,girl,5,three two five zero zero,three two fivesy rosyro,three two fives rosy o
SNR35dB_girl_seq5digits_096.wav,SNR35dB,girl,5,oh four six two three,o for six two three,oh for six two three
SNR35dB_girl_seq5digits_097.wav,SNR35dB,girl,5,six one five one seven,six one five once seven,six one five one seven
SNR35dB_girl_seq5digits_093.wav,SNR35dB,girl,5,five three eight one nine,five three eight one nine,five three eight one nine
SNR35dB_girl_seq5digits_069.wav,SNR35dB,girl,5,three five eight six six,three five eight six six,three five eight six six
SNR35dB_girl_seq5digits_029.wav,SNR35dB,girl,5,four seven five two seven,four seven five two seven,four seven five two seven
SNR35dB_girl_seq5digits_086.wav,SNR35dB,girl,5,one oh nine oh seven,one o nine o seven,one o nine o seven
SNR35dB_girl_seq5digits_013.wav,SNR35dB,girl,5,oh oh six seven one,oh oh six seven one,oh oh six seven one
SNR35dB_girl_seq5digits_014.wav,SNR35dB,girl,5,six zero nine three three,six zero nine three three,six zero nine three three
SNR35dB_girl_seq5digits_039.wav,SNR35dB,girl,5,nine one one oh seven,niwe one one o seven,now one one o seven
SNR35dB_girl_seq5digits_012.wav,SNR35dB,girl,5,eight one six seven zero,eight one six seven zero,eight one six seven zero
SNR35dB_girl_seq5digits_099.wav,SNR35dB,girl,5,two zero zero eight zero,two zero zero eight zero,two zero zero eight zero
SNR35dB_girl_seq5digits_045.wav,SNR35dB,girl,5,three one three oh five,three one three o five,three one three o five
